ID,registration_started,registration_finished,campus,program,"Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most4","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most5","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most6","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most7","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most8","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most9","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most10","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most11","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most12","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most13",Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work?,Generative AI in study practices?,"Motivation, well-being and work-life balance?",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,SUMA,Tværfagligt problemdesign.1,Systemtænkning i ingeniørvidenskab.1,Etisk teknologivurdering.1,Psykologisk tryghed i teams.1,Samarbejde på tværs af fagligheder.1,Facilitering af produktive møder.1,Digitale praksisser i projektarbejdet.1,SCRUM-teknikker i projektarbejdet.1,Generativ AI i studiepraksis.1,"Motivation, trivsel og work-life balance.1",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day).1,Clarification of individual professional competences.1,Ethical technology assessment?,Psychological safety in team work.1,Professional communication with external partners.1,Leadership and project management.1,Digital and hybrid practices in collaborative work.1,Professional identity development.1,Interdisciplinary problem design.1,Systems thinking in engineering.1,Collaboration across discplines.1,Facilitation of productive meeting.1,SCRUM-techniques in project work?.1,Generative AI in study practices?.1,"Motivation, well-being and work-life balance?.1",Creativity and entrepeneurship.1,Psychological safety in teamwork.1,Digital practices in project work.1
324,2025-02-12 18:36:38.606947716,2025-02-12 18:42:00.812317794,AAL,bachelor,Psykologisk tryghed i teams,Generative AI in study practices?,SCRUM-teknikker i projektarbejdet,"Motivation, trivsel og work-life balance",Generativ AI i studiepraksis,Facilitering af produktive møder,Samarbejde på tværs af fagligheder,Etisk teknologivurdering,Digitale praksisser i projektarbejdet,Tværfagligt problemdesign,,,,1,,,,3,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2025-02-10 08:10:59.829832950,2025-02-10 08:12:34.521545649,AAL,bachelor,Digital practices in project work,Psykologisk tryghed i teams,Digitale praksisser i projektarbejdet,Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Ethical technology assessment?,Facilitation of productive meeting,Samarbejde på tværs af fagligheder,Digital practices in project work,Psychological safety in teamwork,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2025-02-10 13:14:21.460013770,2025-02-10 14:03:42.635139698,CPH,master,Professional communication with external partners,Professional identity development,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Ethical technology assessment,,,,,,,,,,,,,,,,,1,3,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2025-02-12 12:13:16.312083505,2025-02-12 12:26:50.343750254,CPH,bachelor,"Motivation, well-being and work-life balance?",Ethical technology assessment,"Motivation, trivsel og work-life balance",Facilitering af produktive møder,Psykologisk tryghed i teams,Generativ AI i studiepraksis,Tværfagligt problemdesign,Generative AI in study practices?,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,,,,,,,,,,3,,,2,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2025-02-12 11:21:45.336121049,2025-02-12 11:22:40.138613286,AAL,bachelor,Samarbejde på tværs af fagligheder,Facilitation of productive meeting,Ethical technology assessment,SCRUM-techniques in project work?,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,Systemtænkning i ingeniørvidenskab,Generativ AI i studiepraksis,Digitale praksisser i projektarbejdet,Systemtænkning i ingeniørvidenskab,,,,,1,,,,,,,,3,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2025-02-10 17:14:07.630567357,2025-02-10 17:16:49.641559229,AAL,bachelor,Ethical technology assessment,Etisk teknologivurdering,Collaboration across discplines,"Motivation, well-being and work-life balance?",Generative AI in study practices?,Ethical technology assessment?,Generativ AI i studiepraksis,Digitale praksisser i projektarbejdet,Psykologisk tryghed i teams,"Motivation, well-being and work-life balance?",,,2,,,,,,,,,,1,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2025-02-10 11:58:40.862113378,2025-02-10 12:07:42.599900247,AAL,bachelor,Interdisciplinary problem design,Psykologisk tryghed i teams,Ethical technology assessment,Ethical technology assessment?,Psychological safety in teamwork,Digitale praksisser i projektarbejdet,Samarbejde på tværs af fagligheder,Generative AI in study practices?,Generativ AI i studiepraksis,SCRUM-techniques in project work?,,,,2,,,,,,,,,3,,,,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2025-02-12 08:48:24.530664156,2025-02-12 09:03:24.344160974,AAL,bachelor,Etisk teknologivurdering,Facilitation of productive meeting,Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Digitale praksisser i projektarbejdet,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digital practices in project work,SCRUM-teknikker i projektarbejdet,Psychological safety in teamwork,3,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2025-02-12 22:51:48.863624277,2025-02-12 22:56:55.609380273,CPH,bachelor,Facilitation of productive meeting,Generative AI in study practices?,Generativ AI i studiepraksis,Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,Etisk teknologivurdering,Ethical technology assessment?,Digital practices in project work,Systemtænkning i ingeniørvidenskab,Generative AI in study practices?,,,,,,,,,3,,,,,,,,,,,,,1,,2,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2025-02-07 19:08:38.844870280,2025-02-07 19:11:55.109345153,AAL,master,Psychological safety in team work,Clarification of individual professional competences,Professional identity development,Ethical technology assessment,Digital and hybrid practices in collaborative work,Professional communication with external partners,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,2,,1,,,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2025-02-10 13:55:04.083715715,2025-02-10 16:42:31.165309477,AAL,master,Professional identity development,Clarification of individual professional competences,Leadership and project management,Ethical technology assessment,Psychological safety in team work,Creativity and entrepeneurship,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,2,,,,3,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2025-02-10 09:02:02.637773161,2025-02-10 09:05:56.601947853,AAL,master,Professional communication with external partners,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Ethical technology assessment,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Psychological safety in team work,,,,,,,,,,,,,3,,,,1,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2025-02-13 09:17:35.405367625,2025-02-13 09:20:34.246909150,AAL,master,Professional communication with external partners,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Professional identity development,Creativity and entrepeneurship,Psychological safety in team work,Ethical technology assessment,Leadership and project management,,,,,,,,,,,,,,3,,,1,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2025-02-09 15:06:16.470073523,2025-02-09 15:13:53.802919752,AAL,bachelor,Psykologisk tryghed i teams,"Motivation, trivsel og work-life balance",Systemtænkning i ingeniørvidenskab,Collaboration across discplines,Digitale praksisser i projektarbejdet,Etisk teknologivurdering,Generativ AI i studiepraksis,Digital practices in project work,Systemtænkning i ingeniørvidenskab,Psykologisk tryghed i teams,,3,,1,,,,,,2,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2025-02-12 15:44:12.554836160,2025-02-12 15:48:03.115785290,AAL,bachelor,"Motivation, trivsel og work-life balance",Collaboration across discplines,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Psychological safety in teamwork,Systemtænkning i ingeniørvidenskab,Ethical technology assessment?,Tværfagligt problemdesign,Tværfagligt problemdesign,"Motivation, well-being and work-life balance?",,,,3,,,,,,1,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2025-02-11 15:47:42.335172464,2025-02-11 15:49:43.604207942,AAL,master,Leadership and project management,Ethical technology assessment,Professional communication with external partners,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Clarification of individual professional competences,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,2,,3,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2025-02-11 10:44:06.818653411,2025-02-11 11:02:02.472775771,CPH,bachelor,"Motivation, trivsel og work-life balance",Tværfagligt problemdesign,Generativ AI i studiepraksis,SCRUM-techniques in project work?,Psychological safety in teamwork,Systemtænkning i ingeniørvidenskab,Facilitation of productive meeting,Ethical technology assessment?,Ethical technology assessment?,Etisk teknologivurdering,2,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2025-02-13 07:03:46.988897238,2025-02-13 07:12:23.638853992,AAL,bachelor,Tværfagligt problemdesign,"Motivation, trivsel og work-life balance",SCRUM-teknikker i projektarbejdet,Psykologisk tryghed i teams,Systems thinking in engineering,Psychological safety in teamwork,Facilitation of productive meeting,Digital practices in project work,Facilitering af produktive møder,Psykologisk tryghed i teams,1,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,2025-02-07 11:28:40.842734415,2025-02-07 11:34:15.937989392,AAL,master,Ethical technology assessment,Clarification of individual professional competences,Creativity and entrepeneurship,Professional identity development,Professional communication with external partners,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,2025-02-10 09:03:44.703437611,2025-02-10 09:17:54.167259506,CPH,master,Creativity and entrepeneurship,Clarification of individual professional competences,Professional communication with external partners,Ethical technology assessment,Digital and hybrid practices in collaborative work,Psychological safety in team work,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,2,,,3,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2025-02-09 17:37:24.530673737,2025-02-09 17:42:07.326631909,AAL,bachelor,Ethical technology assessment,Facilitering af produktive møder,Systemtænkning i ingeniørvidenskab,SCRUM-teknikker i projektarbejdet,Digitale praksisser i projektarbejdet,Tværfagligt problemdesign,Generative AI in study practices?,Collaboration across discplines,Digitale praksisser i projektarbejdet,Digitale praksisser i projektarbejdet,,3,,,,2,,,,,,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2025-02-07 14:19:44.699903642,2025-02-07 14:22:40.953053303,AAL,master,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Digital and hybrid practices in collaborative work,Professional communication with external partners,Clarification of individual professional competences,Leadership and project management,Professional identity development,,,,,,,,,,,,,2,,3,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,2025-02-06 13:58:49.664838532,2025-02-06 14:03:35.985193859,CPH,bachelor,Generativ AI i studiepraksis,Tværfagligt problemdesign,SCRUM-techniques in project work?,Etisk teknologivurdering,Ethical technology assessment?,Psychological safety in teamwork,Psykologisk tryghed i teams,Facilitering af produktive møder,Systemtænkning i ingeniørvidenskab,Digitale praksisser i projektarbejdet,2,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,2025-02-11 10:46:55.993597500,2025-02-11 10:57:14.830809746,CPH,bachelor,Systemtænkning i ingeniørvidenskab,Psychological safety in teamwork,Generativ AI i studiepraksis,SCRUM-techniques in project work?,Etisk teknologivurdering,Psykologisk tryghed i teams,Collaboration across discplines,SCRUM-teknikker i projektarbejdet,Ethical technology assessment?,Facilitering af produktive møder,,1,,,,,,,3,,,,,,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,2025-02-05 18:49:38.537229969,2025-02-05 20:31:59.627319327,AAL,bachelor,Generativ AI i studiepraksis,SCRUM-teknikker i projektarbejdet,Facilitering af produktive møder,Digital practices in project work,"Motivation, well-being and work-life balance?",Etisk teknologivurdering,Psykologisk tryghed i teams,Collaboration across discplines,Ethical technology assessment?,Psychological safety in teamwork,,,,,,3,,2,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,2025-02-10 10:39:48.609585658,2025-02-10 10:41:16.340787892,AAL,master,Creativity and entrepeneurship,Psychological safety in team work,Professional identity development,Ethical technology assessment,Leadership and project management,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,2,,,,3,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2025-02-13 12:12:55.165495413,2025-02-13 12:15:26.903737766,AAL,bachelor,Systemtænkning i ingeniørvidenskab,Systems thinking in engineering,Etisk teknologivurdering,SCRUM-techniques in project work?,Samarbejde på tværs af fagligheder,"Motivation, trivsel og work-life balance",Ethical technology assessment?,"Motivation, well-being and work-life balance?",Ethical technology assessment?,Psykologisk tryghed i teams,,1,3,,,,,,,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,2025-02-11 10:40:29.308063135,2025-02-11 10:41:04.584754011,CPH,master,Psychological safety in team work,Leadership and project management,Creativity and entrepeneurship,Professional communication with external partners,Clarification of individual professional competences,Ethical technology assessment,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,1,,2,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,2025-02-10 08:37:41.096348372,2025-02-10 08:39:14.940259834,AAL,bachelor,Systemtænkning i ingeniørvidenskab,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,Psykologisk tryghed i teams,SCRUM-techniques in project work?,Tværfagligt problemdesign,Generative AI in study practices?,Generativ AI i studiepraksis,Generative AI in study practices?,Facilitering af produktive møder,,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,2025-02-11 10:47:10.759845714,2025-02-11 10:48:11.650642670,AAL,master,Professional identity development,Leadership and project management,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Ethical technology assessment,Psychological safety in team work,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,,,2,,1,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,2025-02-10 10:46:22.308103311,2025-02-10 10:52:30.964963407,AAL,master,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Professional identity development,Creativity and entrepeneurship,Leadership and project management,Psychological safety in team work,Ethical technology assessment,,,,,,,,,,,,,2,1,,,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,2025-02-06 14:44:25.941329362,2025-02-06 14:52:29.881414458,AAL,bachelor,Tværfagligt problemdesign,Systems thinking in engineering,Samarbejde på tværs af fagligheder,SCRUM-techniques in project work?,"Motivation, well-being and work-life balance?",Collaboration across discplines,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,Psykologisk tryghed i teams,Tværfagligt problemdesign,1,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,2025-02-06 18:42:57.460275511,2025-02-06 18:44:52.166229040,CPH,bachelor,Generative AI in study practices?,Samarbejde på tværs af fagligheder,Tværfagligt problemdesign,SCRUM-teknikker i projektarbejdet,"Motivation, trivsel og work-life balance",Systemtænkning i ingeniørvidenskab,Digitale praksisser i projektarbejdet,SCRUM-techniques in project work?,Digitale praksisser i projektarbejdet,Systemtænkning i ingeniørvidenskab,3,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,2025-02-11 14:32:06.318776509,2025-02-11 14:39:40.704381842,CPH,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Ethical technology assessment,Digital and hybrid practices in collaborative work,Professional identity development,Psychological safety in team work,Clarification of individual professional competences,Creativity and entrepeneurship,,,,,,,,,,,,,1,,3,,,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,2025-02-11 11:04:19.275924775,2025-02-11 11:09:52.972332520,CPH,master,Clarification of individual professional competences,Professional identity development,Professional communication with external partners,Digital and hybrid practices in collaborative work,Creativity and entrepeneurship,Psychological safety in team work,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,2025-02-11 10:47:55.540906075,2025-02-11 10:52:06.203011321,CPH,bachelor,Ethical technology assessment,Digitale praksisser i projektarbejdet,Digital practices in project work,SCRUM-teknikker i projektarbejdet,Psychological safety in teamwork,SCRUM-techniques in project work?,Etisk teknologivurdering,Ethical technology assessment?,Etisk teknologivurdering,"Motivation, well-being and work-life balance?",,,,,,,2,,,,,,1,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,2025-02-11 15:40:58.106436113,2025-02-11 16:24:22.696022604,AAL,master,Creativity and entrepeneurship,Psychological safety in team work,Leadership and project management,Professional identity development,Professional communication with external partners,Ethical technology assessment,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,,,2,,3,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,2025-02-10 14:49:22.347272036,2025-02-10 14:55:49.425940640,AAL,master,Professional communication with external partners,Creativity and entrepeneurship,Ethical technology assessment,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Psychological safety in team work,Clarification of individual professional competences,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
